crossing,sunrise_sunset,season,severity,traffic_signal
False,Night,Winter,3,False
False,Day,Spring,3,False
True,Day,Spring,2,True
True,Day,Spring,2,True
False,Day,Winter,3,False
False,Day,Summer,3,False
False,Day,Spring,4,False
False,Night,Spring,4,False
False,Day,Summer,3,False
False,Day,Spring,1,False
False,Day,Winter,3,False
False,Night,Winter,3,False
True,Day,Winter,2,False
False,Day,Fall,3,False
False,Night,Winter,2,False
False,Day,Summer,2,False
True,Day,Winter,2,True
False,Night,Fall,3,False
False,Night,Spring,3,False
False,Night,Winter,4,False
False,Night,Fall,2,False
False,Day,Fall,2,False
False,Day,Summer,2,False
False,Day,Spring,3,False
False,Day,Summer,2,False
False,Day,Winter,3,False
False,Day,Fall,2,True
False,Day,Fall,2,False
False,Day,Fall,3,False
False,Day,Winter,3,False
False,Day,Spring,2,False
False,Day,Summer,2,False
False,Day,Summer,3,True
False,Night,Spring,3,False
True,Day,Summer,2,True
False,Day,Summer,2,False
False,Day,Spring,4,False
False,Day,Spring,4,False
False,Day,Spring,2,True
False,Night,Fall,3,False
True,Day,Winter,2,False
True,Day,Fall,2,True
False,Day,Fall,2,False
False,Night,Fall,2,False
True,Night,Fall,2,True
False,Day,Fall,2,False
False,Day,Winter,2,False
False,Day,Summer,3,False
True,Day,Spring,2,True
False,Day,Summer,2,False
True,Day,Summer,2,True
False,Day,Summer,2,False
False,Night,Fall,4,False
False,Day,Winter,2,False
False,Day,Fall,3,False
True,Day,Fall,2,True
False,Day,Fall,2,False
False,Night,Fall,2,False
True,Day,Fall,2,False
False,Night,Winter,2,False
False,Day,Summer,2,False
False,Night,Summer,2,False
False,Day,Summer,2,False
False,Day,Fall,2,False
True,Day,Spring,2,True
True,Day,Fall,2,True
False,Day,Fall,3,False
False,Day,Winter,3,False
False,Night,Spring,3,False
False,Day,Winter,2,True
False,Day,Summer,4,False
False,Day,Summer,2,False
False,Day,Winter,2,False
False,Night,Spring,2,False
False,Day,Winter,3,False
False,Day,Summer,2,False
False,Day,Winter,3,False
True,Night,Spring,2,True
False,Day,Fall,4,False
False,Night,Fall,2,False
False,Day,Summer,2,False
False,Day,Summer,2,False
False,Day,Fall,3,False
False,Night,Fall,3,False
False,Day,Winter,3,False
True,Day,Spring,2,True
False,Day,Winter,2,False
False,Day,Fall,2,False
False,Day,Winter,2,False
True,Day,Summer,2,True
False,Night,Winter,2,False
False,Day,Summer,3,False
False,Day,Spring,2,False
False,Day,Winter,3,False
False,Night,Winter,2,False
False,Day,Fall,3,False
True,Day,Fall,2,True
False,Night,Fall,3,False
False,Day,Fall,2,False
True,Day,Spring,2,True
False,Day,Fall,2,False
False,Day,Spring,2,False
False,Day,Winter,2,False
False,Day,Spring,3,False
False,Night,Spring,3,False
False,Night,Winter,2,False
False,Day,Winter,2,False
False,Night,Fall,3,False
False,Day,Winter,2,False
False,Night,Winter,4,False
True,Day,Spring,2,True
False,Night,Fall,2,False
False,Day,Winter,2,False
False,Day,Summer,2,False
True,Day,Spring,2,True
False,Day,Summer,3,False
False,Day,Spring,4,False
False,Day,Winter,2,False
False,Day,Spring,3,False
False,Night,Spring,2,False
False,Day,Winter,2,False
False,Day,Spring,3,False
False,Day,Fall,2,False
False,Day,Fall,3,False
False,Day,Fall,3,False
True,Day,Fall,2,True
False,Day,Fall,2,True
False,Day,Spring,2,False
False,Night,Fall,3,False
False,Day,Spring,2,False
False,Day,Spring,3,False
False,Day,Winter,2,False
True,Day,Winter,2,True
False,Day,Summer,3,False
False,Night,Summer,4,False
False,Day,Spring,2,False
False,Day,Winter,2,False
False,Day,Summer,2,True
True,Day,Summer,2,True
True,Day,Spring,2,True
False,Day,Fall,4,False
False,Night,Fall,2,False
True,Day,Spring,2,True
False,Day,Winter,3,False
False,Day,Summer,3,False
True,Day,Winter,2,True
False,Day,Winter,3,False
False,Day,Fall,2,False
False,Day,Summer,2,False
False,Day,Summer,2,False
False,Day,Spring,2,False
False,Day,Summer,2,False
False,Night,Fall,2,False
False,Day,Spring,3,False
False,Night,Summer,2,True
False,Day,Winter,3,False
False,Night,Winter,2,False
False,Day,Summer,3,False
False,Day,Winter,2,False
False,Night,Winter,3,False
True,Night,Spring,4,True
False,Day,Winter,3,False
False,Day,Spring,3,False
False,Night,Winter,3,False
False,Night,Winter,3,False
False,Night,Fall,2,False
False,Day,Spring,2,False
False,Day,Fall,2,False
False,Night,Fall,4,False
False,Day,Spring,3,False
False,Night,Fall,4,False
False,Night,Spring,2,False
False,Day,Winter,3,False
False,Night,Winter,3,False
False,Day,Winter,2,False
False,Day,Winter,3,False
False,Day,Summer,2,False
False,Night,Spring,2,False
True,Day,Summer,1,True
False,Night,Winter,3,False
False,Day,Spring,2,False
False,Day,Winter,3,True
False,Day,Winter,3,False
False,Day,Winter,2,True
False,Day,Winter,2,False
False,Day,Winter,3,False
False,Day,Winter,2,False
False,Day,Spring,3,False
True,Night,Winter,2,False
False,Night,Winter,2,False
True,Day,Summer,2,False
False,Day,Summer,3,False
False,Day,Spring,2,True
False,Night,Spring,2,False
False,Day,Winter,2,False
False,Day,Winter,4,False
False,Day,Summer,3,False
False,Night,Winter,2,False
False,Night,Fall,4,False
False,Day,Fall,3,False
False,Day,Winter,2,False
False,Day,Winter,3,False
True,Day,Summer,2,True
False,Day,Spring,3,False
False,Day,Winter,2,False
True,Day,Summer,2,True
False,Day,Fall,3,False
False,Night,Fall,2,False
True,Night,Spring,2,True
False,Night,Fall,3,False
False,Night,Fall,2,False
False,Day,Spring,2,False
False,Day,Fall,3,False
False,Day,Winter,2,False
True,Day,Spring,2,True
False,Day,Summer,2,False
False,Day,Summer,2,False
False,Night,Fall,4,False
False,Night,Spring,2,False
False,Night,Fall,3,False
False,Day,Summer,2,False
False,Day,Winter,3,False
False,Day,Winter,3,True
False,Night,Winter,2,False
False,Night,Winter,2,False
False,Day,Summer,3,False
False,Day,Winter,3,False
True,Day,Summer,2,True
False,Night,Spring,2,False
True,Day,Spring,4,False
True,Day,Summer,2,True
False,Night,Winter,2,True
False,Day,Summer,3,True
False,Day,Summer,3,False
False,Day,Fall,2,False
False,Day,Winter,2,False
False,Night,Spring,4,False
True,Day,Fall,2,True
False,Day,Winter,3,False
False,Day,Fall,2,False
False,Day,Winter,3,False
False,Day,Fall,3,False
True,Night,Summer,2,False
False,Night,Spring,4,False
False,Night,Spring,3,False
False,Day,Summer,3,False
False,Day,Fall,3,False
False,Day,Summer,3,False
False,Day,Summer,2,False
False,Day,Spring,2,False
True,Day,Spring,2,True
False,Day,Fall,2,False
False,Day,Summer,2,True
False,Night,Fall,4,False
False,Night,Winter,3,False
False,Day,Summer,2,False
False,Day,Winter,2,True
False,Night,Summer,2,False
False,Day,Fall,4,False
False,Day,Winter,4,False
False,Day,Fall,3,False
False,Day,Winter,3,False
False,Night,Summer,3,False
False,Day,Fall,3,False
False,Night,Fall,2,False
False,Day,Winter,2,True
False,Day,Summer,2,True
False,Day,Fall,2,False
True,Day,Summer,2,False
False,Day,Winter,4,False
False,Night,Winter,4,False
False,Night,Summer,2,True
False,Day,Summer,3,False
False,Day,Spring,3,False
False,Day,Fall,2,False
False,Night,Fall,2,False
False,Day,Summer,2,False
False,Night,Fall,2,False
True,Day,Spring,2,True
False,Day,Summer,2,False
False,Night,Winter,2,False
False,Day,Fall,2,False
False,Day,Summer,2,False
False,Day,Winter,3,False
False,Day,Winter,2,False
False,Day,Fall,3,False
False,Day,Fall,2,False
True,Day,Fall,2,True
False,Night,Fall,2,False
False,Day,Spring,3,False
False,Day,Fall,2,False
False,Day,Spring,2,True
False,Day,Summer,3,False
False,Day,Summer,3,False
False,Night,Spring,4,False
False,Day,Spring,2,False
False,Day,Winter,2,False
False,Day,Summer,3,False
False,Day,Summer,2,True
False,Day,Summer,3,False
False,Day,Spring,4,False
False,Day,Spring,3,False
False,Night,Fall,2,False
False,Day,Winter,4,False
False,Day,Winter,2,False
False,Night,Fall,3,False
False,Night,Winter,2,False
False,Day,Fall,2,False
False,Night,Winter,2,False
False,Day,Winter,3,False
False,Night,Winter,2,False
True,Day,Fall,2,False
False,Night,Winter,3,False
False,Night,Winter,3,False
True,Night,Fall,2,True
False,Day,Fall,2,False
True,Day,Winter,2,True
False,Day,Summer,2,False
False,Day,Fall,2,False
False,Day,Spring,4,False
False,Day,Summer,3,False
False,Day,Winter,2,False
False,Day,Spring,3,False
False,Night,Winter,2,False
False,Day,Spring,3,False
False,Day,Fall,4,False
True,Day,Summer,2,True
False,Day,Fall,2,False
False,Day,Summer,3,False
False,Night,Winter,2,False
False,Day,Fall,2,False
True,Day,Summer,2,False
True,Day,Fall,2,True
False,Night,Fall,2,False
True,Day,Spring,2,True
False,Day,Spring,2,False
False,Day,Summer,1,True
False,Day,Summer,2,False
False,Night,Fall,4,False
False,Day,Winter,2,False
True,Day,Summer,2,False
False,Day,Summer,2,False
True,Day,Summer,4,False
True,Day,Summer,2,True
False,Day,Winter,2,False
False,Day,Fall,2,False
False,Night,Fall,3,False
True,Day,Fall,2,False
False,Night,Fall,2,False
False,Day,Summer,3,False
False,Day,Winter,3,False
True,Day,Spring,2,True
False,Day,Spring,2,False
False,Day,Winter,2,False
False,Day,Summer,2,False
False,Night,Winter,2,False
False,Day,Spring,3,False
True,Day,Summer,2,True
False,Day,Spring,3,False
False,Night,Spring,3,False
False,Night,Spring,2,False
True,Night,Summer,4,True
False,Day,Winter,2,True
False,Day,Fall,2,False
False,Night,Fall,3,False
False,Day,Summer,2,False
False,Day,Spring,2,False
False,Day,Winter,2,False
False,Day,Fall,2,False
False,Day,Winter,2,False
False,Day,Summer,2,False
False,Day,Summer,3,False
False,Day,Fall,2,False
False,Night,Summer,2,False
False,Day,Spring,3,False
True,Day,Fall,2,True
False,Day,Winter,2,False
False,Day,Fall,3,False
True,Night,Winter,2,True
True,Day,Spring,2,False
False,Day,Winter,2,False
False,Night,Winter,2,False
False,Day,Spring,3,False
True,Night,Summer,4,True
False,Day,Spring,2,False
False,Night,Winter,3,False
False,Day,Fall,2,False
False,Night,Winter,2,False
False,Day,Winter,2,False
False,Day,Summer,2,False
False,Day,Spring,2,False
True,Day,Summer,1,True
False,Day,Fall,2,False
False,Day,Fall,2,False
True,Day,Summer,2,True
False,Night,Winter,2,False
False,Night,Fall,4,False
False,Night,Summer,3,False
False,Day,Summer,2,False
False,Night,Spring,2,False
False,Day,Winter,2,False
True,Day,Spring,3,True
False,Night,Winter,3,False
False,Night,Fall,2,False
True,Day,Winter,2,True
False,Night,Fall,2,False
False,Day,Fall,2,False
False,Day,Spring,2,False
False,Day,Winter,2,False
False,Day,Summer,2,False
False,Day,Spring,3,False
False,Day,Spring,2,False
False,Night,Fall,4,False
False,Day,Fall,2,False
False,Day,Winter,3,False
False,Day,Summer,3,False
False,Day,Winter,4,False
False,Day,Spring,2,False
True,Day,Spring,1,True
False,Night,Summer,3,False
False,Day,Summer,2,False
False,Night,Fall,3,True
False,Unavailable,Spring,3,False
True,Day,Winter,2,True
False,Day,Fall,3,False
False,Day,Fall,2,False
False,Day,Winter,2,False
True,Day,Spring,2,False
True,Day,Fall,2,True
False,Day,Summer,2,False
False,Night,Winter,4,False
True,Day,Winter,2,True
False,Day,Winter,2,False
True,Day,Winter,2,True
False,Night,Summer,2,False
False,Night,Winter,3,False
False,Day,Spring,2,False
False,Night,Spring,3,False
False,Day,Winter,3,True
False,Day,Spring,1,True
True,Day,Spring,4,True
False,Day,Winter,2,False
False,Day,Fall,4,False
False,Day,Winter,4,False
False,Night,Winter,4,False
False,Night,Winter,2,False
False,Night,Fall,3,False
False,Day,Winter,2,False
False,Night,Winter,2,False
True,Day,Fall,3,False
False,Night,Winter,2,False
True,Day,Spring,2,True
True,Night,Winter,2,False
False,Day,Fall,4,False
False,Day,Summer,3,False
False,Day,Spring,3,False
True,Day,Winter,4,True
False,Day,Spring,2,False
False,Day,Spring,2,False
False,Day,Winter,2,False
False,Night,Winter,3,False
False,Day,Winter,2,False
False,Day,Spring,1,False
False,Day,Fall,2,False
False,Day,Winter,3,False
False,Day,Fall,2,False
False,Unavailable,Fall,2,False
False,Day,Summer,3,True
False,Day,Spring,1,False
False,Night,Winter,2,False
True,Day,Summer,2,True
False,Day,Spring,2,False
False,Night,Fall,2,False
True,Day,Summer,2,True
False,Day,Summer,3,False
False,Day,Summer,2,False
True,Day,Spring,2,False
False,Night,Spring,4,False
False,Day,Summer,3,False
False,Night,Spring,2,False
False,Day,Summer,2,False
False,Day,Summer,2,False
False,Day,Summer,2,False
False,Day,Spring,3,False
False,Day,Summer,1,False
False,Day,Summer,2,False
False,Day,Spring,2,False
False,Night,Fall,2,False
True,Day,Fall,2,True
False,Night,Winter,2,False
False,Night,Winter,2,False
False,Night,Fall,2,False
False,Day,Winter,2,False
False,Night,Winter,2,False
True,Day,Spring,2,True
True,Day,Fall,2,False
False,Day,Fall,3,False
False,Night,Fall,2,False
True,Day,Spring,2,False
True,Day,Summer,2,True
True,Day,Fall,2,True
False,Day,Summer,3,False
False,Day,Winter,2,False
False,Day,Summer,3,False
False,Day,Summer,3,False
True,Day,Spring,2,False
False,Night,Fall,4,False
False,Day,Summer,2,False
False,Day,Winter,2,False
False,Day,Summer,2,False
False,Day,Summer,3,False
False,Night,Winter,2,False
False,Day,Winter,2,False
False,Day,Winter,2,False
False,Day,Fall,2,False
False,Day,Summer,4,False
True,Day,Spring,2,True
False,Night,Spring,2,False
False,Night,Summer,3,True
False,Day,Summer,3,False
False,Day,Spring,3,False
False,Night,Spring,4,False
False,Night,Winter,3,False
False,Night,Fall,2,False
False,Day,Spring,2,True
False,Day,Fall,2,False
False,Night,Spring,4,False
True,Day,Fall,2,True
False,Day,Summer,2,False
False,Night,Summer,4,False
False,Night,Spring,4,False
False,Day,Fall,3,False
True,Day,Summer,2,True
False,Night,Fall,4,False
False,Day,Fall,3,False
False,Day,Spring,3,False
False,Day,Winter,4,False
False,Day,Spring,3,False
False,Day,Winter,2,False
False,Day,Fall,3,False
False,Day,Spring,3,False
False,Day,Spring,2,False
True,Day,Winter,2,False
False,Day,Summer,3,False
False,Day,Winter,2,False
False,Day,Spring,2,False
True,Day,Summer,2,True
False,Night,Fall,3,False
False,Night,Winter,3,False
True,Day,Summer,2,True
False,Day,Winter,2,False
True,Day,Winter,2,False
False,Day,Winter,3,False
False,Day,Spring,2,False
False,Night,Spring,2,False
True,Day,Winter,2,False
False,Day,Summer,3,False
False,Day,Spring,3,False
False,Day,Summer,2,False
False,Day,Winter,3,False
False,Day,Spring,3,False
False,Day,Spring,3,False
False,Day,Fall,3,False
True,Day,Spring,2,True
True,Day,Summer,2,True
False,Day,Winter,2,False
False,Day,Summer,3,False
False,Day,Summer,3,False
False,Day,Winter,2,False
False,Day,Fall,3,False
False,Day,Summer,2,False
False,Night,Spring,4,False
False,Night,Spring,3,False
False,Day,Summer,2,False
False,Day,Summer,2,False
False,Day,Winter,2,False
False,Night,Summer,2,False
False,Night,Spring,4,False
False,Night,Winter,2,False
True,Day,Summer,2,True
False,Day,Fall,3,False
False,Day,Summer,3,False
False,Day,Fall,2,True
False,Day,Fall,3,False
False,Day,Fall,2,False
False,Day,Summer,2,False
False,Day,Spring,3,False
False,Day,Winter,2,False
False,Day,Fall,2,False
False,Day,Spring,2,False
False,Day,Fall,4,False
False,Day,Fall,2,False
False,Day,Fall,2,False
False,Day,Fall,2,False
True,Day,Summer,2,True
True,Day,Winter,2,True
False,Day,Fall,2,False
False,Day,Fall,2,False
False,Day,Winter,3,False
True,Night,Winter,2,False
False,Night,Summer,2,True
False,Day,Summer,2,False
False,Night,Winter,2,True
True,Night,Spring,4,True
True,Day,Fall,2,True
False,Day,Summer,3,False
True,Day,Summer,2,False
False,Night,Spring,4,False
False,Night,Spring,4,False
False,Day,Spring,2,False
False,Day,Spring,2,False
False,Day,Winter,3,False
False,Day,Spring,2,False
False,Day,Winter,3,False
False,Night,Fall,2,False
False,Night,Fall,2,False
False,Day,Winter,2,False
False,Night,Fall,2,False
False,Night,Winter,2,False
False,Night,Summer,4,False
True,Night,Fall,2,True
False,Day,Fall,2,False
True,Day,Spring,2,True
False,Day,Spring,1,False
False,Day,Summer,3,False
True,Day,Winter,2,True
True,Day,Fall,2,True
False,Night,Fall,2,False
False,Day,Winter,2,False
False,Day,Summer,2,False
True,Day,Summer,2,True
False,Night,Winter,2,False
False,Day,Summer,2,False
True,Day,Summer,2,True
False,Day,Winter,2,False
False,Day,Spring,3,False
False,Day,Winter,2,False
False,Day,Fall,3,False
False,Day,Spring,2,True
True,Day,Summer,2,False
False,Night,Summer,2,False
True,Day,Spring,2,True
False,Day,Fall,3,False
False,Day,Summer,1,False
False,Night,Winter,2,False
False,Night,Summer,2,False
False,Day,Spring,3,False
False,Day,Fall,3,False
False,Night,Fall,2,False
False,Day,Winter,2,False
False,Day,Winter,2,False
False,Day,Winter,3,False
False,Day,Fall,2,False
False,Day,Summer,2,False
False,Day,Spring,3,False
False,Night,Winter,2,False
False,Day,Spring,3,False
False,Day,Winter,2,False
False,Day,Fall,2,False
False,Day,Summer,3,False
True,Day,Winter,2,True
True,Day,Summer,2,True
False,Day,Winter,3,False
False,Day,Winter,2,False
False,Day,Winter,2,True
False,Day,Fall,2,False
False,Day,Fall,2,False
False,Day,Winter,2,False
True,Day,Spring,2,True
False,Day,Fall,2,True
True,Day,Summer,3,False
False,Night,Fall,2,False
False,Day,Winter,2,False
False,Day,Winter,2,False
False,Night,Winter,2,False
False,Night,Winter,3,False
False,Day,Spring,3,False
False,Day,Summer,3,False
False,Day,Winter,2,False
False,Day,Winter,3,False
False,Day,Summer,3,False
False,Day,Winter,2,False
False,Day,Fall,3,False
False,Day,Winter,2,False
False,Night,Summer,4,False
False,Day,Spring,2,False
False,Night,Fall,2,False
False,Day,Summer,2,False
False,Day,Fall,2,False
False,Day,Fall,3,False
False,Night,Winter,3,False
False,Day,Fall,2,False
False,Day,Fall,4,False
False,Day,Winter,3,False
False,Day,Winter,2,False
False,Day,Fall,2,False
False,Day,Spring,2,False
False,Night,Fall,3,False
True,Day,Winter,2,True
False,Day,Fall,2,False
True,Day,Fall,2,False
True,Day,Winter,2,False
False,Day,Winter,2,False
False,Day,Spring,2,False
False,Night,Winter,2,False
False,Day,Winter,2,False
False,Day,Fall,3,False
True,Day,Summer,4,True
False,Day,Winter,2,False
True,Night,Spring,2,False
False,Day,Fall,2,False
False,Day,Winter,2,False
False,Night,Fall,2,False
False,Day,Winter,2,False
True,Day,Summer,2,True
False,Day,Summer,2,False
False,Day,Summer,3,False
False,Day,Winter,4,False
False,Day,Winter,2,False
True,Night,Winter,2,False
False,Day,Summer,2,False
False,Day,Fall,2,False
False,Day,Winter,2,False
False,Night,Winter,3,False
False,Day,Fall,2,False
False,Day,Fall,3,False
False,Day,Summer,3,False
False,Night,Spring,2,False
False,Day,Spring,3,False
False,Day,Winter,2,False
False,Day,Spring,3,False
False,Night,Spring,2,False
False,Night,Winter,3,False
False,Day,Fall,3,False
False,Night,Winter,2,False
False,Day,Fall,2,False
True,Day,Summer,2,False
False,Day,Fall,2,False
True,Day,Spring,2,True
False,Night,Winter,2,False
True,Day,Fall,2,True
False,Day,Fall,3,False
False,Day,Fall,3,False
False,Day,Winter,2,False
False,Day,Summer,2,False
False,Day,Spring,2,False
True,Day,Spring,2,True
False,Night,Winter,3,False
True,Day,Summer,2,True
False,Night,Winter,2,False
True,Day,Spring,2,False
False,Night,Summer,2,False
False,Day,Spring,3,False
False,Day,Spring,4,False
False,Day,Winter,4,False
False,Day,Fall,3,False
False,Day,Summer,2,True
False,Day,Fall,2,False
False,Day,Summer,3,False
False,Night,Fall,3,False
False,Night,Spring,2,False
False,Day,Summer,2,False
False,Day,Winter,4,False
True,Day,Winter,2,True
False,Night,Summer,3,False
False,Day,Summer,2,False
False,Day,Summer,2,False
False,Day,Summer,2,False
False,Night,Summer,2,False
False,Day,Winter,2,False
False,Day,Fall,4,False
False,Night,Fall,4,False
False,Night,Spring,2,False
False,Day,Fall,2,False
False,Day,Winter,3,False
True,Day,Fall,2,False
False,Night,Winter,2,False
True,Day,Fall,2,False
False,Day,Summer,2,True
True,Day,Fall,2,True
False,Night,Winter,3,False
False,Day,Winter,3,False
False,Day,Fall,3,False
False,Night,Winter,2,False
False,Day,Fall,4,False
False,Day,Spring,2,False
False,Night,Winter,2,False
False,Day,Spring,2,False
False,Day,Winter,2,False
False,Day,Fall,3,False
True,Day,Winter,2,True
False,Night,Winter,2,True
False,Night,Winter,2,False
False,Day,Winter,2,True
False,Day,Winter,3,False
True,Night,Winter,2,True
